,StateCode,WardCode,WardName,LGACode,Urban,Source,Timestamp,GlobalID,AMAPCODE,X.x,WardName.x,urbanPercentage,classification_20,classification_30,classification_50,classification_75,X.y,WardName.y,median_rank,ranks,AdminLevel3,Population
129,TA,TRSUSS01,Fikyu,35013,No,INEC,3/16/2019,375d3117-50a2-46f8-829b-3576afb6b78a,NIE TRS USS,39,Fikyu,0,Rural,Rural,Rural,Rural,89,Fikyu,92,89,Fikyu,19473
119,TA,TRSTTM05,Gahweton,35012,No,INEC,3/16/2019,5a9dc14c-224d-4839-ade9-fc5ea6784505,NIE TRS TTM,40,Gahweton,9.787808301,Rural,Rural,Rural,Rural,8,Gahweton,17,8,Gahweton,18754
32,TA,TRSGKA01,Galimjina,35004,No,INEC,3/16/2019,17f38277-314c-40f0-abf5-d996679b260d,NIE TRS GKA,41,Galimjina,0,Rural,Rural,Rural,Rural,69,Galimjina,77.5,69,Galimjina,7200
17,TA,TRSBAL03,Gang Dole,35002,No,INEC,3/16/2019,39332a13-b2ef-4c73-94e9-e7a45413ac11,NIE TRS BAL,42,Gang Dole,0,Rural,Rural,Rural,Rural,47,Gang Dole,60,47,Gangdole,16739
13,TA,TRSBAL04,Gang Lari,35002,No,INEC,3/16/2019,37d939eb-9ba1-4b34-a9d0-ba7658285a21,NIE TRS BAL,43,Gang Lari,0,Rural,Rural,Rural,Rural,53,Gang Lari,65.5,53,Ganglari,14760
11,TA,TRSBAL05,Gang Mata,35002,No,INEC,3/16/2019,bbc09e63-2420-4b33-a71e-2fd69e86beea,NIE TRS BAL,44,Gang Mata,0,Rural,Rural,Rural,Rural,27,Gang Mata,36,27,Gangmata,26368
12,TA,TRSBAL06,Gang Tiba,35002,No,INEC,3/16/2019,652151d8-98a1-41cd-b92d-30260160358b,NIE TRS BAL,45,Gang Tiba,0,Rural,Rural,Rural,Rural,13,Gang Tiba,24,13,Gangtiba,12782
35,TA,TRSGKA02,Gangumi,35004,No,INEC,3/16/2019,b659196c-3bc1-4b4e-91be-adc23be18174,NIE TRS GKA,46,Gangumi,0,Rural,Rural,Rural,Rural,84,Gangumi,87.5,84,Gangumi,13029
39,TA,TRSGKA03,Garbabi,35004,No,INEC,3/16/2019,5a0de9b2-c9df-4137-bc74-3bef2702e841,NIE TRS GKA,47,Garbabi,0,Rural,Rural,Rural,Rural,104,Garbabi,102.5,104,Garbabi,17462
101,TA,TRSLAU04,Garin Dogo,35010,No,INEC,3/16/2019,8238b6a5-356a-461b-995e-851b5235f84c,NIE TRS LAU,48,Garin Dogo,0,Rural,Rural,Rural,Rural,144,Garin Dogo,137,144,Garin Dogo,17938
102,TA,TRSLAU05,Garin Magaji,35010,No,INEC,3/16/2019,159b9d83-d81b-4fb7-96de-18949659efce,NIE TRS LAU,49,Garin Magaji,0,Rural,Rural,Rural,Rural,158,Garin Magaji,151,158,Garin Magaji,13166
37,TA,TRSGKA04,Gashaka,35004,No,INEC,3/16/2019,e6720146-79bc-45af-8eef-757b8c9fc50e,NIE TRS GKA,50,Gashaka,0.001112379,Rural,Rural,Rural,Rural,141,Gashaka,136,141,Gashaka,9330
45,TA,TRSGAS01,Gassol,35005,No,INEC,3/16/2019,0036e69d-5b0d-405d-be49-221e52251bc7,NIE TRS GAS,51,Gassol,0,Rural,Rural,Rural,Rural,114,Gassol,109,114,Gassol,35042
40,TA,TRSGKA05,Gayam,35004,No,INEC,3/16/2019,f5666e19-422c-4b39-ab2f-a2a56373e16f,NIE TRS GKA,52,Gayam,0,Rural,Rural,Rural,Rural,91,Gayam,94,91,Gayam,13206
29,TA,TRSDGA04,Gayama,35003,No,INEC,3/16/2019,b902e6a5-e14f-43fa-b4cc-1a870d3b3d15,NIE TRS DGA,53,Gayama,0,Rural,Rural,Rural,Rural,109,Gayama,105.5,109,Gayama,27372
112,TA,TRSSDA01,Gembu A,35011,No,INEC,3/16/2019,4e3f4073-5284-4ffa-aafe-bcf1b7c75d6e,NIE TRS SDA,54,Gembu A,0.002493621,Rural,Rural,Rural,Rural,86,Gembu A,89,86,Gembu A,26855
114,TA,TRSSDA02,Gembu B,35011,No,INEC,3/16/2019,690db3a7-0dbb-44ca-9594-21496d412693,NIE TRS SDA,55,Gembu B,1.121660555,Rural,Rural,Rural,Rural,63,Gembu B,74,63,Gembu B,28909
149,TA,TRSYRR02,Gongong,35015,No,INEC,3/16/2019,cb7f9cd3-ccff-4e63-b4ab-4243c84591a3,NIE TRS YRR,56,Gongong,0,Rural,Rural,Rural,Rural,3,Gongong,6.5,3,Gongon,12852
